Date,BTC,DXY,Gold,SP500,Yield_10Y,VIX
2023-07-14,30334.068359375,99.91000366210938,1960.0999755859375,4505.419921875,3.819000005722046,13.34000015258789
2023-07-15,30295.806640625,,,,,
2023-07-16,30249.1328125,,,,,
2023-07-17,30145.888671875,99.83999633789062,1952.4000244140625,4522.7900390625,3.796999931335449,13.479999542236328
2023-07-18,29856.5625,99.94000244140625,1977.199951171875,4554.97998046875,3.7890000343322754,13.300000190734863
2023-07-19,29913.923828125,100.27999877929688,1977.5,4565.72021484375,3.742000102996826,13.760000228881836
2023-07-20,29792.015625,100.87999725341797,1968.300048828125,4534.8701171875,3.8540000915527344,13.989999771118164
2023-07-21,29908.744140625,101.06999969482422,1964.300048828125,4536.33984375,3.8369998931884766,13.600000381469727
2023-07-22,29771.802734375,,,,,
2023-07-23,30084.5390625,,,,,
2023-07-24,29176.916015625,101.3499984741211,1960.300048828125,4554.64013671875,3.8570001125335693,13.90999984741211
2023-07-25,29227.390625,101.3499984741211,1962.0999755859375,4567.4599609375,3.9119999408721924,13.859999656677246
2023-07-26,29354.97265625,100.88999938964844,1968.9000244140625,4566.75,3.8510000705718994,13.1899995803833
2023-07-27,29210.689453125,101.7699966430664,1945.4000244140625,4537.41015625,4.01200008392334,14.40999984741211
2023-07-28,29319.24609375,101.62000274658203,1960.4000244140625,4582.22998046875,3.9690001010894775,13.329999923706055
2023-07-29,29356.91796875,,,,,
2023-07-30,29275.30859375,,,,,
2023-07-31,29230.111328125,101.86000061035156,1970.5,4588.9599609375,3.9590001106262207,13.630000114440918
2023-08-01,29675.732421875,102.30000305175781,1940.699951171875,4576.72998046875,4.051000118255615,13.930000305175781
2023-08-02,29151.958984375,102.58999633789062,1937.4000244140625,4513.39013671875,4.078000068664551,16.09000015258789
2023-08-03,29178.6796875,102.54000091552734,1932.0,4501.89013671875,4.189000129699707,15.920000076293945
2023-08-04,29074.091796875,102.0199966430664,1939.5999755859375,4478.02978515625,4.059999942779541,17.100000381469727
2023-08-05,29042.126953125,,,,,
2023-08-06,29041.85546875,,,,,
2023-08-07,29180.578125,102.05000305175781,1933.5,4518.43994140625,4.078000068664551,15.770000457763672
2023-08-08,29765.4921875,102.52999877929688,1924.0999755859375,4499.3798828125,4.026000022888184,15.989999771118164
