Date,CPI,M2,CPI_YoY,M2_YoY
2023-04-01,302.858,20729.7,0.049469474880623254,-0.04691034482758616
2023-05-01,303.316,20801.1,0.04125314539356473,-0.041012968691651386
2023-06-01,304.099,20782.7,0.030592533347792994,-0.03974513581821293
2023-07-01,304.615,20772.0,0.0328032820234625,-0.04018630699067083
2023-08-01,306.138,20746.9,0.037186358677607556,-0.03979321229063204
2023-09-01,307.374,20720.5,0.03695082332223443,-0.037187279283298014
2023-10-01,307.653,20687.4,0.03246537507676717,-0.03440002987248181
2023-11-01,308.087,20696.9,0.03139855644977696,-0.030957809917548706
2023-12-01,308.735,20701.4,0.03322200208829762,-0.024393232480324212
2024-01-01,309.794,20773.3,0.031079425939238847,-0.020376885133032263
2024-02-01,311.022,20861.4,0.0316642120765831,-0.01526101384489742
